2016-01-31 22:04:05.644 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.646 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.647 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:05.648 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:05.648 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadTwoPages: line:0 srcId:undefined
2016-01-31 22:04:05.648 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:05.660 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.662 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.663 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:05.663 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:05.663 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadTwoPages: line:0 srcId:undefined
2016-01-31 22:04:05.663 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:05.700 [] INFO  KEQWebPage  - JS Console:918: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:04:05.700 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:04:05.721 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.721 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.722 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.724 [] INFO  KEQWebPage  - JS Console:With Parameters |1| |2| |page-spread-right| |page-spread-left| |1024| |758| |0| |none: line:182 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.724 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.724 [] INFO  KEQWebPage  - JS Console:LOG: Available frame Id : frameLab126-1: line:182 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.724 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- 1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.724 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.827 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-1: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.828 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.829 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.4096: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.829 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|512|758|page-spread-right: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.829 [] INFO  KEQWebPage  - JS Console:top is 418pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.830 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.831 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:05.832 [] INFO  KEQWebPage  - JS Console:With Parameters |1| |2| |page-spread-right| |page-spread-left| |1024| |758| |0| |none: line:182 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.833 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.833 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.4096: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.834 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|512|758|page-spread-right: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.834 [] INFO  KEQWebPage  - JS Console:top is 418pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.835 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-2: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:05.835 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
